title,company,location,work_type,level,compensation,link,id,ai_type
"Principal Software Engineer, Applied AI",Seek (seekinsights.com),United States,Remote,Expert/Leader,170K-190K Annually,https://builtin.com/job/principal-software-engineer-applied-ai/8328829,8328829,ai-support
Senior Software Engineer - Applied AI,Seek (seekinsights.com),United States,Remote,Senior level,150K-175K Annually,https://builtin.com/job/senior-software-engineer-applied-ai/8328806,8328806,ai-support
AI Automation Engineer,Lookout,USA,Remote,Mid level,130K-160K Annually,https://builtin.com/job/ai-automation-engineer/8327479,8327479,ai-support
Principal Software Engineer - Product/AI,Titan (titan.com),"New York, NY, USA",In-Office,Senior level,150K-300K Annually,https://builtin.com/job/principal-software-engineer-full-stack/4470249,4470249,ai-support
Senior Software Engineer - Product/AI,Titan (titan.com),"New York, NY, USA",In-Office,Mid level,150K-225K Annually,https://builtin.com/job/senior-software-engineer-productai/4470255,4470255,ai-support
"Software Engineer, Enterprise AI",Scale AI,2 Locations,In-Office,Mid level,216K-270K Annually,https://builtin.com/job/software-engineer-enterprise-ai/7125645,7125645,ai-support
Full Stack Engineer (AI),Chaos Labs,United States,Remote,Senior level,160K-210K Annually,https://builtin.com/job/full-stack-engineer-ai/7140475,7140475,ai-support
"Senior Software Engineer, AI Compute",Airbnb,USA,Remote,Senior level,191K-225K Annually,https://builtin.com/job/senior-software-engineer-ai-compute/8320663,8320663,ai-support
Senior AI/ML Engineer,Natera,US,Remote,Senior level,126K-157K Annually,https://builtin.com/job/senior-ai-ml-engineer/8093646,8093646,ai-first
Senior Backend Application Engineer - AI,Manifest,US,Remote,Senior level,,https://builtin.com/job/senior-backend-application-engineer-ai/7422988,7422988,ai-support
AI/ML Ops Engineer,Foundation EGI,USA,Remote,Senior level,,https://builtin.com/job/ai-ml-ops-engineer/6972582,6972582,ai-first
Staff AI Systems Engineer,Flock Safety,USA,Remote,Senior level,200K-225K Annually,https://builtin.com/job/senior-ai-systems-engineer/7669524,7669524,ai-first
Solutions Engineer (AI/ML),Buzz Solutions,US,Remote,Senior level,,https://builtin.com/job/solutions-engineer-ai-ml/7418099,7418099,ai-support
"Lead Data Engineer, AI Data Platform",Imagen Technologies,United States,Remote,Senior level,170K-190K Annually,https://builtin.com/job/lead-data-engineer-ai-data-platform/7407825,7407825,ai-support
Staff AI Solutions Engineer,Built Technologies,USA,Remote,Senior level,150K-205K Annually,https://builtin.com/job/sr-ai-solutions-engineer/7428353,7428353,ai-support
Staff AI Infrastructure Engineer,SentinelOne,United States,Remote,Senior level,170K-235K Annually,https://builtin.com/job/staff-ai-infrastructure-engineer/6783598,6783598,ai-support
"Senior Azure Cloud, Security & AI Operations Engineer",AI Technology Partners,United States,Remote,Senior level,,https://builtin.com/job/senior-azure-cloud-security-ai-operations-engineer/8316490,8316490,ai-support
AI Solutions Engineer,"Kasa Living, Inc.",USA,Remote,Mid level,100K-115K Annually,https://builtin.com/job/process-automation-specialist-ai-focus/6578832,6578832,ai-support
Junior AI/ML Engineer,TensorOps,USA,Remote,Junior,30K-35K Annually,https://builtin.com/job/junior-ai-ml-engineer/8314487,8314487,ai-first
"Forward Deployed Engineer, AI Agents",Inkeep,"New York City, NY, USA",In-Office,Junior,120K-180K Annually,https://builtin.com/job/forward-deployed-engineer/7319596,7319596,ai-support
"Senior Software Engineer- CRM, Artificial Intelligence",GEICO,4 Locations,In-Office,Senior level,80K-215K Annually,https://builtin.com/job/senior-software-engineer-ai-remote/7119763,7119763,ai-support
Senior Software Engineer - (Python+React / for AI Program),Abstra,United States,Remote,Senior level,,https://builtin.com/job/senior-software-engineer-python-react-ai-program/8305902,8305902,ai-support
"Senior Software Engineer, Elixir (AI)",PDQ,United States,Remote,Senior level,,https://builtin.com/job/senior-software-engineer-elixir/8305457,8305457,ai-support
Staff Machine Learning Engineer - AI Tech Lead,Sumo Logic,United States,Remote,Senior level,221K-260K Annually,https://builtin.com/job/staff-machine-learning-engineer-ai-tech-lead/8304529,8304529,ai-first
"Software Engineer, AI",Ambrook,3 Locations,In-Office or Remote,Mid level,140K-210K Annually,https://builtin.com/job/software-engineer-ai/7096270,7096270,ai-support
"Software engineer, generative AI",Writer,2 Locations,In-Office or Remote,Senior level,119K-292K Annually,https://builtin.com/job/software-engineer-generative-ai/8233169,8233169,ai-support
Senior Front-End Engineer (AI Integrated Workflows and SDKs),Sirona Medical,USA,Remote,Senior level,175K-200K Annually,https://builtin.com/job/senior-front-end-engineer-ai-integrated-workflows-and-sdks/8300502,8300502,ai-support
Senior Software Engineer (Agentic / AI Insurance SaaS),EvolutionIQ,2 Locations,In-Office or Remote,Senior level,180K-225K Annually,https://builtin.com/job/senior-software-engineer-agentic-ai-insurance-saas/8231695,8231695,ai-support
Senior Machine Learning (ML) Engineer (AI Insurtech),EvolutionIQ,"New York, NY, USA",In-Office,Senior level,190K-225K Annually,https://builtin.com/job/senior-machine-learning-ml-engineer-ai-insurtech/8231684,8231684,ai-first
Senior Software Engineer - AI / LLM (Medhub),EvolutionIQ,2 Locations,In-Office or Remote,Senior level,185K-235K Annually,https://builtin.com/job/senior-software-engineer-ai-llm-medhub/8231686,8231686,ai-support
Senior Software Engineer (Python / AI Insurance SaaS),EvolutionIQ,2 Locations,In-Office or Remote,Senior level,175K-225K Annually,https://builtin.com/job/senior-software-engineer-python-ai-insurance-saas/8231643,8231643,ai-support
Principal Software Engineer (AI + ML SaaS / Insurtech),EvolutionIQ,"New York, NY, USA",In-Office,Expert/Leader,270K-300K Annually,https://builtin.com/job/principal-software-engineer-ai-ml-saas-insurtech/8231666,8231666,ai-support
Senior AI/ML Engineer (LLMs),EvolutionIQ,2 Locations,In-Office or Remote,Senior level,175K-225K Annually,https://builtin.com/job/senior-ai-ml-software-engineer-llms/8231676,8231676,ai-first
Staff Software Engineer (Platform / AI Insurance SaaS),EvolutionIQ,2 Locations,In-Office or Remote,Senior level,240K-275K Annually,https://builtin.com/job/staff-software-engineer-platform-ai-insurance-saas/8231652,8231652,ai-support
"Software Engineer, Agentic AI",Invisible Technologies,"New York, NY, USA",Hybrid,Mid level,147K-216K Annually,https://builtin.com/job/software-engineer-forward-deployed/8192196,8192196,ai-support
AI Application Engineer,Recall Labs,USA,Remote,Senior level,,https://builtin.com/job/ai-application-engineer/7394194,7394194,ai-support
"Senior Full Stack Engineer (Python+TS, AI Project)",South Geeks,USA,Remote,Senior level,,https://builtin.com/job/senior-full-stack-engineer-python-ts-ai-project/7902150,7902150,ai-support
Senior Software Engineer - Agentic AI Deployment Services,Resilinc,United States,Remote,Senior level,130K-175K Annually,https://builtin.com/job/senior-software-engineer-agentic-ai-implementation-deployment-services/7120343,7120343,ai-support
"Full Stack Engineer, Agentic AI",Lazer Technologies,2 Locations,Remote,Mid level,,https://builtin.com/job/full-stack-engineer-agentic-ai/6238063,6238063,ai-support
Staff Software Engineer - AI,Storable,United States,Remote,Senior level,,https://builtin.com/job/staff-software-engineer-ai/7898950,7898950,ai-support
Technical Support Engineer – AI Cybersecurity Platform,Abnormal Security,USA,Remote,Mid level,24-28 Annually,https://builtin.com/job/technical-support-engineer-ai-cybersecurity-platform/7902028,7902028,ai-support
Sr. AI/ML Engineer III (6273),MetroStar,USA,Remote,Senior level,179K-189K Annually,https://builtin.com/job/sr-ai-ml-engineer-iii-6273/8088200,8088200,ai-first
"Full-Stack Engineer (Node.js, React, AI/LLM)",Censia,USA,Remote,Mid level,,https://builtin.com/job/full-stack-engineer-node-js-react-ai-llm/6219915,6219915,ai-support
"Senior AI Product Engineer, Backend",Arize AI,United States,Remote,Senior level,125K-225K Annually,https://builtin.com/job/senior-ai-product-engineer-backend/3675427,3675427,ai-support
"AI Product Engineer, New Grad",Arize AI,United States,Remote,Entry level,100K-135K Annually,https://builtin.com/job/ai-product-engineer-new-grad/3675426,3675426,ai-support
"Senior AI Product Engineer, Fullstack",Arize AI,United States,Remote,Senior level,125K-225K Annually,https://builtin.com/job/senior-ai-product-engineer-fullstack/3675428,3675428,ai-support
Data Engineer (AI Enablement),Octagon,United States of America,,Mid level,90K-100K Annually,https://builtin.com/job/data-engineer-ai-enablement/7646246,7646246,ai-support
AI Software Engineer (Internal Engineering) (Remote),KnowBe4,USA,Remote,Mid level,105K-120K Annually,https://builtin.com/job/ai-software-engineer-internal-engineering-remote/6568532,6568532,ai-support
"Lead Product Engineer (Full Stack), Materia AI",Thomson Reuters,"Brooklyn, New York, NY, USA",Hybrid,Senior level,136K-253K Annually,https://builtin.com/job/lead-product-engineer-full-stack-materia-ai/8006570,8006570,ai-support
AI/ML Engineer,Profound,"New York City, NY, USA",In-Office,Mid level,160K-250K Annually,https://builtin.com/job/ai-ml-engineer/7525744,7525744,ai-first
Staff Software Engineer - AI/ML Infra,GEICO,3 Locations,In-Office,Senior level,115K-300K Annually,https://builtin.com/job/staff-software-engineer-ai-ml-infra/7801916,7801916,ai-support
"Solutions Engineer, AI",Valence,"New York, NY, USA",Hybrid,Mid level,,https://builtin.com/job/solutions-engineer-ai/7801988,7801988,ai-support
"Senior Software Engineer, AI",Bubble,"New York, NY, USA",Hybrid,Senior level,100K-237K Annually,https://builtin.com/job/senior-software-engineer-ai/7305334,7305334,ai-support
AI Solutions Engineer - Remote,Finn Partners,"New York, NY, USA",In-Office or Remote,Senior level,90K-200K Annually,https://builtin.com/job/ai-solutions-engineer-remote/8044913,8044913,ai-support
Principal Software Engineer-AI,Thomson Reuters,4 Locations,Hybrid,Senior level,159K-340K Annually,https://builtin.com/job/principal-software-engineer-ai/8147545,8147545,ai-support
"Staff Machine Learning Engineer, AI Product and Platform",BetterUp,5 Locations,In-Office,Senior level,205K-314K Annually,https://builtin.com/job/staff-machine-learning-engineer-ai-product-and-platform/8201143,8201143,ai-first
"Senior Software Engineer, AI Product",Mural,United States,Remote,Senior level,172K-215K Annually,https://builtin.com/job/senior-software-engineer-ai-product/7890547,7890547,ai-support
"Senior Software Engineer, Data & AI- Northeast",Vendelux,USA,Remote or Hybrid,Senior level,,https://builtin.com/job/senior-software-engineer-data-ai-northeast/7872844,7872844,ai-support
Senior/Staff Full Stack Engineer - AI Team,BrightHire,USA,Remote,Senior level,,https://builtin.com/job/staff-full-stack-engineer-ai-team/6949838,6949838,ai-support
AI Product Engineer,PostHog,USA,Remote,Mid level,,https://builtin.com/job/ai-product-engineer/6953405,6953405,ai-support
Staff ML/AI Platform Engineer,BetterHelp,US,Remote,Mid level,200K-245K Annually,https://builtin.com/job/staff-ml-ai-platform-engineer/7875896,7875896,ai-support
Senior AI Data Engineer,SentinelOne,United States,Remote,Senior level,147K-235K Annually,https://builtin.com/job/senior-ai-data-engineer/4715267,4715267,ai-support
Early Career Software Engineer Apprenticeship (AI & Data Track) - Bletchley Fellowship,Flatiron School,United States,Remote,Internship,15-15 Hourly,https://builtin.com/job/early-career-software-engineer-apprenticeship-ai-data-track/8292330,8292330,ai-support
Senior Software Engineer - Agentic AI Platform,P-1 AI,United States,Remote,Senior level,200K-250K Annually,https://builtin.com/job/senior-software-engineer-agentic-ai-platform/8292031,8292031,ai-support
"Product Engineer, Applied AI",Pocus,8 Locations,In-Office,Mid level,120K-240K Annually,https://builtin.com/job/product-engineer-applied-ai/4649854,4649854,ai-support
"Staff Software Engineer, AI",Credit Genie,4 Locations,In-Office,Senior level,150K-250K Annually,https://builtin.com/job/staff-software-engineer-ai/7290032,7290032,ai-support
"Software Engineer, Gen AI",Scale AI,2 Locations,In-Office,Mid level,179K-224K Annually,https://builtin.com/job/software-engineer-gen-ai/7503795,7503795,ai-support
"Senior Staff Engineer,  Interactive Voice Response - AI/ML",GEICO,3 Locations,In-Office,Expert/Leader,130K-260K Annually,https://builtin.com/job/sr-staff-engineer/7076353,7076353,ai-support
"Staff Engineer,  Interactive Voice Response - AI/ML",GEICO,3 Locations,In-Office,Senior level,115K-230K Annually,https://builtin.com/job/staff-engineer/7076359,7076359,ai-support
Senior Software Engineer-AI Agents,Hatch,3 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/senior-software-engineer-ai-agents/7300850,7300850,ai-support
"iOS Developer, AI Apps",BJAK,United States,Remote,Mid level,,https://builtin.com/job/ios-developer-ai-apps/8286159,8286159,ai-support
"Android Developer, AI Apps",BJAK,United States,Remote,Mid level,,https://builtin.com/job/android-developer-ai-apps/8286147,8286147,ai-support
"Backend Engineer, AI",BJAK,United States,Remote,Mid level,,https://builtin.com/job/backend-engineer-ai/8286139,8286139,ai-support
ServiceNow Senior Software Engineer - Gen AI,NewRocket,USA,Remote,Mid level,,https://builtin.com/job/servicenow-senior-software-engineer-gen-ai/8286021,8286021,ai-support
"Staff Backend Engineer, AI",Pulley,USA,Remote,Senior level,200K-240K Annually,https://builtin.com/job/staff-backend-engineer-ai/7863018,7863018,ai-support
AI Operations Automation Engineer,Northbeam,USA,Remote or Hybrid,Mid level,180K-220K Annually,https://builtin.com/job/ai-operations-automation-engineer/8281581,8281581,ai-support
AI Product Engineer,Vellum,"New York City, NY, USA",In-Office,Mid level,,https://builtin.com/job/ai-product-engineer/8184079,8184079,ai-support
"Software Engineer, AI/ML GenAI",Instrumentl,USA,Remote,Senior level,175K-220K Annually,https://builtin.com/job/software-engineer-ai-ml-genai/8167364,8167364,ai-support
"Software Engineer, AI Studio iOS Mobile - New York or Mountain View",Deepmind,2 Locations,In-Office,Senior level,197K-291K Annually,https://builtin.com/job/software-engineer-ai-studio-ios-mobile-new-york-or-mountain-view/7925718,7925718,ai-support
Software Engineer — AI-Enabled Product Autonomy,PostHog,USA,Remote,Junior,,https://builtin.com/job/software-engineer-ai-enabled-product-autonomy/8277537,8277537,ai-support
"Solutions Engineer, AI Native",Metronome,8 Locations,In-Office or Remote,Mid level,150K-210K Annually,https://builtin.com/job/solutions-engineer-ai-native/8030834,8030834,ai-support
AI Research Engineer (Fully Remote; US Based),Genomenon,USA,Remote,Mid level,,https://builtin.com/job/ai-research-engineer-fully-remote-us-based/8276650,8276650,ai-first
Software Engineer - AI/ML,Artian AI,"New York, NY, USA",In-Office,Mid level,90K-120K Annually,https://builtin.com/job/software-engineer-ai-ml/7240422,7240422,ai-support
AI Success Engineer - US Remote,OpenAI,United States,Remote,Senior level,162K-230K Annually,https://builtin.com/job/ai-success-engineer-us-remote/8270037,8270037,ai-support
Sr. Machine Learning Engineer (ML/AI),Lyra Health,3 Locations,In-Office or Remote,Senior level,143K-197K Annually,https://builtin.com/job/sr-machine-learning-engineer-ml-ai/7429057,7429057,ai-first
AI Deployment Engineer- Codex,OpenAI,United States,Remote,Senior level,158K-222K Annually,https://builtin.com/job/ai-deployment-engineer-codex/8271778,8271778,ai-first
AI Product Engineer,Crux (cruxclimate.com,US,Remote,Mid level,140K-200K Annually,https://builtin.com/job/ai-product-engineer/6929029,6929029,ai-support
"Founding Engineer at Venture-Backed, AI-Native Law Firm",Forum Ventures,US,Remote,Expert/Leader,140K-160K Annually,https://builtin.com/job/founding-engineer-venture-backed-ai-native-law-firm/7847025,7847025,ai-support
"Lead Software Engineer, AI Applications",Solv.,United States,Remote,Senior level,190K-230K Annually,https://builtin.com/job/lead-software-engineer-ai-applications/7618776,7618776,ai-support
AI Application Engineer,SumerSports,United States,Remote,Senior level,,https://builtin.com/job/ai-application-engineer/7850039,7850039,ai-support
"Senior Context Engineer, AI Systems",MagicSchool AI,USA,Remote,Senior level,160K-190K Annually,https://builtin.com/job/senior-context-engineer-ai-systems/7615796,7615796,ai-first
Sr. AI Sales Engineer - Cybersecurity,7AI,USA,Remote,Senior level,,https://builtin.com/job/sr-sales-engineer-cybersecurity/6319871,6319871,ai-support
Gen AI Data Engineer,Tiger Analytics,United States,Remote,Expert/Leader,,https://builtin.com/job/gen-ai-data-engineer/7357448,7357448,ai-support
AI Software Engineer,HelpFlow,5 Locations,Remote,Mid level,,https://builtin.com/job/ai-software-engineer/7360718,7360718,ai-support
AI Software Engineer - Remote,Azumo (azumo.com),5 Locations,Remote,Mid level,,https://builtin.com/job/ai-software-engineer-generative-ai-remote/7354918,7354918,ai-support
Founding AI/Data Engineer (Remote),Glass Health,USA,Remote,Senior level,120K-210K Annually,https://builtin.com/job/founding-aidata-engineer-remote/3564658,3564658,ai-support
AI/ML Engineer,"Burq, Inc.",United States,Remote,Mid level,,https://builtin.com/job/ai-ml-engineer/7362831,7362831,ai-first
AI/ML Engineer Intern - Summer 2026,Beli,"New York, NY, USA",In-Office,Internship,,https://builtin.com/job/ai-ml-engineer-intern-summer-2026/7634925,7634925,ai-first
"Senior Staff AI Application Engineer, Enterprise AI",GE Healthcare,USA,Remote,Senior level,139K-209K Annually,https://builtin.com/job/senior-staff-ai-application-engineer-enterprise-ai/8266926,8266926,ai-first
"Software Engineer, Applied AI",Norm Ai,"New York City, NY, USA",In-Office,Mid level,200K-275K Annually,https://builtin.com/job/applied-ai-engineer/7045404,7045404,ai-support
AI/ML Engineer (Senior),Candid Health,3 Locations,In-Office,Senior level,195K-255K Annually,https://builtin.com/job/ai-ml-software-engineer-senior/8020704,8020704,ai-first
Lead AI/ML Engineer,Junior,"New York City, NY, USA",In-Office,Senior level,,https://builtin.com/job/lead-ai-ml-engineer/7780047,7780047,ai-first
AI/ML Engineer,sciemo,4 Locations,In-Office,Entry level,150K-300K Annually,https://builtin.com/job/ai-ml-engineer/7780697,7780697,ai-first
AI/Machine Learning Engineer,Trovo Health,"New York, NY, USA",In-Office,Mid level,150K-200K Annually,https://builtin.com/job/ai-machine-learning-engineer/7047097,7047097,ai-first
"Senior Software Engineer, AI/LLM",Bubble,"New York, NY, USA",Hybrid,Senior level,100K-261K Annually,https://builtin.com/job/senior-software-engineer-ai-llm/7775134,7775134,ai-support
Staff Software Engineer-AI Agents,Hatch,3 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/staff-software-engineer-ai-agents/7278640,7278640,ai-support
Sr. AI Platform Engineer,LendingTree,USA,Remote,Senior level,120K-165K Annually,https://builtin.com/job/sr-ai-platform-engineer/8255293,8255293,ai-support
AI Principal Engineer,Improvado,8 Locations,Remote,Senior level,,https://builtin.com/job/ai-principal-engineer/8255200,8255200,ai-first
Senior Full Stack Engineer - AI/ML Productization,PlanHub,2 Locations,Remote,Senior level,,https://builtin.com/job/senior-full-stack-engineer-ai-ml-productization/8252823,8252823,ai-support
Senior Backend Engineer (AI/Data Platform),Jahnel Group,"Brooklyn, New York, NY, USA",In-Office,Senior level,,https://builtin.com/job/senior-backend-engineer-ai-data-platform/6741169,6741169,ai-support
"Platform Engineer, Unstructured AI",Collibra,"New York, NY, USA",Hybrid,Mid level,140K-175K Annually,https://builtin.com/job/platform-engineer-unstructured-ai/8004849,8004849,ai-support
"Staff Machine Learning Engineer, AI Generation Engine",SandboxAQ,United States,Remote,Senior level,174K-286K Annually,https://builtin.com/job/staff-machine-learning-engineer-ai-generation-engine/8249749,8249749,ai-first
Staff Software Engineer (AI/ML Platform),Humata Health,US,Remote,Senior level,,https://builtin.com/job/staff-software-engineer-ai-ml-platform/7583841,7583841,ai-support
Software QA Engineer - AI,P-1 AI,United States,Remote,Mid level,200K-250K Annually,https://builtin.com/job/software-qa-engineer-ai/8243634,8243634,ai-support
AI Product Engineer,P-1 AI,United States,Remote,Senior level,200K-265K Annually,https://builtin.com/job/senior-software-engineer-ai/8243631,8243631,ai-support
"Machine Learning Engineer, Applied AI",Ideogram,2 Locations,In-Office or Remote,Mid level,,https://builtin.com/job/applied-machine-learning-engineer/7482448,7482448,ai-first
Ontology Engineer - Applied AI & Data Platforms,Applico Capital,3 Locations,In-Office,Senior level,,https://builtin.com/job/ontology-engineer-applied-ai-data-platforms/7983911,7983911,ai-support
Applied AI / Machine Learning Engineer,Applico Capital,2 Locations,In-Office,Senior level,,https://builtin.com/job/applied-ai-machine-learning-engineer/7983915,7983915,ai-first
"Senior Frontend Engineer, AI Observability & Evals Platform",LangChain,3 Locations,In-Office,Senior level,155K-195K Annually,https://builtin.com/job/senior-frontend-engineer-observability-evals-platform-langsmith/7033273,7033273,ai-support
"Senior Full Stack Engineer,  AI Observability & Evals Platform",LangChain,3 Locations,In-Office,Senior level,165K-198K Annually,https://builtin.com/job/senior-full-stack-engineer-observability-evals-platform-langsmith/7033274,7033274,ai-support
"Senior Software Engineer, Data & AI",Vendelux,"New York, NY, USA",Hybrid,Senior level,175K-225K Annually,https://builtin.com/job/senior-ai-engineer/7027323,7027323,ai-support
"Senior Machine Learning Engineer, AI Product and Platform",BetterUp,5 Locations,In-Office,Mid level,160K-253K Annually,https://builtin.com/job/machine-learning-engineer-ai-product-and-platform/7023556,7023556,ai-first
"Senior Software Engineer, AI Model Serving - Taipei, Taiwan",Speechify,USA,Remote,Senior level,,https://builtin.com/job/senior-software-engineer-ai-model-serving-taipei-taiwan/7836450,7836450,ai-support
FlowFuse Full Stack Developer (AI-focused),FlowFuse,United States,Remote,Mid level,,https://builtin.com/job/flowfuse-full-stack-developer-ai-focused/8067206,8067206,ai-support
"Senior Staff Engineer, AI Agents",Five9,United States,Remote,Senior level,114K-317K Annually,https://builtin.com/job/senior-staff-engineer-ai-agents/8063375,8063375,ai-support
"Machine Learning Engineer, Zillow Shopping AI",Zillow,USA,Remote,Mid level,138K-233K Annually,https://builtin.com/job/machine-learning-engineer-zillow-shopping-ai/7862162,7862162,ai-first
"Principal Engineer, Generative & Agentic AI",Zip Co,United States,Remote,Expert/Leader,215K-270K Annually,https://builtin.com/job/principal-engineer-generative-agentic-ai/8057345,8057345,ai-first
Principal AI & Data Platforms Engineer,Guild,United States,Remote,Expert/Leader,181K-250K Annually,https://builtin.com/job/principal-ai-data-platforms-engineer/6683796,6683796,ai-support
Senior AI/Data Engineer,WorkWave,US,Remote,Senior level,160K-180K Annually,https://builtin.com/job/senior-ai-data-engineer/8061372,8061372,ai-support
Senior / Staff AI Software Engineer,Aegis Ventures,U.S.,Remote,Senior level,185K-280K Annually,https://builtin.com/job/senior-staff-ai-software-engineer/6897423,6897423,ai-support
"Staff Full-Stack Engineer, Applied AI",hims & hers,US,Remote,Senior level,200K-240K Annually,https://builtin.com/job/staff-full-stack-engineer-applied-ai/8053880,8053880,ai-support
Staff AI Software Engineer,Conversica,United States,Remote,Expert/Leader,8-8 Annually,https://builtin.com/job/staff-ai-software-engineer/8235395,8235395,ai-support
Machine Learning Engineer (LLMs / AI),ghSMART,United States,Remote,Senior level,160K-175K Annually,https://builtin.com/job/machine-learning-engineer-llms-rag/8233255,8233255,ai-first
Staff Software Engineer - Big Data (Gen AI),Extreme Networks,United States,Remote,Senior level,50K-130K Annually,https://builtin.com/job/staff-software-engineer-big-data-gen-ai/7316269,7316269,ai-support
"Backend / Platform Engineer, AI Analytic Engines",ThirdLaw AI,USA,Remote,Senior level,,https://builtin.com/job/backend-platform-engineer-ai-analytic-engines/7105962,7105962,ai-support
Research Engineer - Decentralized AI Systems,Yotta Labs,5 Locations,Remote,Mid level,,https://builtin.com/job/research-engineer-decentralized-ai-systems/7107271,7107271,ai-first
Lead AI/ML Engineer,Capital Technology Group,USA,Remote,Expert/Leader,155K-185K Annually,https://builtin.com/job/lead-ai-ml-engineer/8230284,8230284,ai-first
Clojure/ClojureScript Engineer - Fashion AI Automation,Stylitics,USA,Remote,Senior level,135K-155K Annually,https://builtin.com/job/clojure-clojurescript-engineer-fashion-ai-automation/7571845,7571845,ai-support
AI Prompt Engineer (ComfyUI),Zeely – AI Admaker,USA,Remote,Junior,,https://builtin.com/job/ai-prompt-engineer/7568516,7568516,ai-first
"Staff Machine Learning Engineer, Gen AI",Weave,US,Remote,Senior level,,https://builtin.com/job/staff-machine-learning-engineer-gen-ai/7808536,7808536,ai-first
"Senior Machine Learning Engineer, Gen AI",Weave,US,Remote,Senior level,,https://builtin.com/job/senior-machine-learning-engineer-gen-ai/7808516,7808516,ai-first
AI Infrastructure Engineer,Speechify,USA,Remote,Mid level,,https://builtin.com/job/ai-infrastructure-engineer/7568928,7568928,ai-support
"Senior Software Engineer, AI Runtime",Apollo GraphQL,United States,Remote,Senior level,157K-199K Annually,https://builtin.com/job/senior-software-engineer-ai-runtime/7568478,7568478,ai-support
Staff Software Engineer – AI/ML,Mastrics,USA,Remote,Senior level,120K-175K Annually,https://builtin.com/job/staff-software-engineer-ai-ml/6330562,6330562,ai-support
"Senior Software Engineer, AI Research",Dataminr,US,Remote or Hybrid,Senior level,155K-228K Annually,https://builtin.com/job/senior-software-engineer-ai-research/7810171,7810171,ai-support
Principal AI Platform Engineer (US),PointClickCare,USA,Remote,Senior level,179K-199K Annually,https://builtin.com/job/principal-ai-platform-engineer/8213536,8213536,ai-support
Senior Software Engineer - Authorization AI,Delinea,U.S.,Remote,Senior level,,https://builtin.com/job/senior-software-engineer-authorization-ai/8206838,8206838,ai-support
AI Research Engineer,XBOW,"East Coast, USA",Remote,Mid level,150K-350K Annually,https://builtin.com/job/ai-research-engineer/7297476,7297476,ai-first
AI Application Engineer,Rearc,United States,Remote,Junior,,https://builtin.com/job/ai-application-engineer/7580651,7580651,ai-support
Senior Staff Machine Learning Engineer - AI Safety and Guardrail,Airbnb,United States,Remote,Senior level,244K-305K Annually,https://builtin.com/job/senior-staff-machine-learning-engineer-ai-safety-and-guardrail/6860554,6860554,ai-first
"Staff Product Designer, Developer AI",Stripe,2 Locations,Remote,Senior level,,https://builtin.com/job/staff-product-designer-developer-ai/6880819,6880819,ai-support
Senior Software Engineer (AI Applications),Cambium Learning Group,USA,Remote,Senior level,,https://builtin.com/job/senior-software-engineer-ai-applications/8036989,8036989,ai-support
"Principal AI Software Engineer, Enterprise AI Platform",Natera,US,Remote,Senior level,174K-218K Annually,https://builtin.com/job/principal-ai-software-engineer-enterprise-ai-platform/7789643,7789643,ai-support
Principal AI/ML Platform Engineer,Natera,US,Remote,Senior level,174K-218K Annually,https://builtin.com/job/principal-ai-ml-platform-engineer/7789635,7789635,ai-support
Software Engineer (Applied AI Focus),FirmPilot,USA,Remote,Senior level,110K-140K Annually,https://builtin.com/job/software-engineer-applied-ai-focus/8192153,8192153,ai-support
"GTM Engineer, AI",Vanta,U.S.,Remote,Senior level,168K-198K Annually,https://builtin.com/job/gtm-engineer-ai/8185055,8185055,ai-support
"Senior .NET Engineer, FinTech and AI Innovation",Blackbaud,USA,Remote,Senior level,117K-158K Annually,https://builtin.com/job/senior-net-engineer-fintech-and-ai-innovation/7543489,7543489,ai-support
"Full Stack Engineer, AI Agents",Roboflow,USA,Remote,Mid level,163K-180K Annually,https://builtin.com/job/full-stack-engineer-ai-agents/8027169,8027169,ai-support
Senior Software Engineer - Observo AI,SentinelOne,United States,Remote,Senior level,128K-176K Annually,https://builtin.com/job/senior-software-engineer-observo-ai/7301705,7301705,ai-support
Senior Staff Software Engineer - Observo AI,SentinelOne,United States,Remote,Senior level,180K-248K Annually,https://builtin.com/job/senior-staff-software-engineer-observo-ai/7301700,7301700,ai-support
"Principal Engineer, AI Systems",OneStudyTeam,United States,Remote,Expert/Leader,,https://builtin.com/job/principal-engineer-ai-systems/8021315,8021315,ai-first
Principal Engineer - AI and Intelligence Systems,WISEcode,United States,Remote,Expert/Leader,,https://builtin.com/job/principal-engineer-ai-and-intelligence-systems/8031872,8031872,ai-support
Staff Software Engineer (Cloud and AI),Readyset,US,Remote,Expert/Leader,190K-240K Annually,https://builtin.com/job/staff-software-engineer-cloud-and-ai/7302786,7302786,ai-support
Senior Software Engineer – AI/ML Platform,Socure,USA,Remote,Senior level,180K-200K Annually,https://builtin.com/job/senior-software-engineer-ai-ml-platform/8028307,8028307,ai-support
"Senior Full-Stack Software Engineer, Applied AI",Circle.so,USA,Remote,Senior level,130K-140K Annually,https://builtin.com/job/senior-full-stack-software-engineer-applied-ai/8180990,8180990,ai-support
